Postcode,LDZ,Exit Zone
BD108NS,NE,NE1
BD108NT,NE,NE1
BD108NU,NE,NE1
BD108NW,NE,NE1
BD108NX,NE,NE1
BD108PA,NE,NE1
BD108PB,NE,NE1
BD108PD,NE,NE1
BD108PE,NE,NE1
BD108PF,NE,NE1
BD108PG,NE,NE1
BD108PH,NE,NE1
BD108PJ,NE,NE1
BD108PL,NE,NE1
BD108PN,NE,NE1
BD108PP,NE,NE1
BD108PQ,NE,NE1
BD108PR,NE,NE1
BD108PS,NE,NE1
BD108PT,NE,NE1
BD108PU,NE,NE1
BD108PW,NE,NE1
BD108PX,NE,NE1
BD108PY,NE,NE1
BD108PZ,NE,NE1
BD108QA,NE,NE1
BD108QB,NE,NE1
BD108QD,NE,NE1
BD108QE,NE,NE1
BD108QF,NE,NE1
BD108QG,NE,NE1
BD108QH,NE,NE1
BD108QJ,NE,NE1
BD108QL,NE,NE1
BD108QN,NE,NE1
BD108QP,NE,NE1
BD108QQ,NE,NE1
BD108QR,NE,NE1
BD108QS,NE,NE1
BD108QT,NE,NE1
BD108QU,NE,NE1
BD108QW,NE,NE1
BD108QX,NE,NE1
BD108QY,NE,NE1
BD108QZ,NE,NE1
BD108RA,NE,NE1
BD108RB,NE,NE1
BD108RD,NE,NE1
BD108RE,NE,NE1
BD108RF,NE,NE1
BD108RG,NE,NE1
BD108RH,NE,NE1
BD108RJ,NE,NE1
BD108RL,NE,NE1
BD108RP,NE,NE1
BD108RQ,NE,NE1
BD108RR,NE,NE1
BD108RS,NE,NE1
BD108RT,NE,NE1
BD108RU,NE,NE1
BD108RW,NE,NE1
BD108RX,NE,NE1
BD108RY,NE,NE1
BD108RZ,NE,NE1
BD108SA,NE,NE1
BD108SB,NE,NE1
BD108SE,NE,NE1
BD108SF,NE,NE1
BD108SH,NE,NE1
BD108SJ,NE,NE1
BD108SL,NE,NE1
BD108SN,NE,NE1
BD108SP,NE,NE1
BD108SQ,NE,NE1
BD108SR,NE,NE1
BD108SS,NE,NE1
BD108ST,NE,NE1
BD108SW,NE,NE1
BD108SX,NE,NE1
BD108TA,NE,NE1
BD108TB,NE,NE1
BD108TE,NE,NE1
BD108TF,NE,NE1
BD108TG,NE,NE1
BD108TH,NE,NE1
BD108TL,NE,NE1
BD108TN,NE,NE1
BD108TP,NE,NE1
BD108TQ,NE,NE1
BD108TR,NE,NE1
BD108TS,NE,NE1
